FID,NOMBRE,CATEGORIA,COMUNA,Manzanas,Personas,Hombres,Mujeres,Edad0a9,Edad10a19,Edad20a29,Edad30a39,Edad40a49,Edad50a59,Edad60a69,Edad70a79,Edad80omas,Viviendas,Hogares,HogaresDes,EstratoN1,EstratoN2,EstratoN3,EstratoN4,EstratoN5,EstratoN6
0,1 DE MAYO,BARRIO,COMUNA 05,6.0,828.0,412.0,416.0,127.0,122.0,150.0,132.0,101.0,93.0,52.0,38.0,13.0,229.0,233.0,9.0,1.0,193.0,18.0,0.0,0.0,0.0
1,13 DE JUNIO,BARRIO,COMUNA 01,5.0,331.0,160.0,171.0,52.0,42.0,65.0,49.0,48.0,39.0,26.0,6.0,4.0,114.0,93.0,4.0,30.0,60.0,0.0,2.0,0.0,0.0
2,20 DE JULIO,BARRIO,COMUNA 08,1.0,343.0,154.0,189.0,46.0,63.0,56.0,50.0,48.0,35.0,22.0,19.0,4.0,87.0,103.0,1.0,53.0,25.0,3.0,3.0,0.0,0.0
3,23 DE JUNIO,BARRIO,COMUNA 04,16.0,1656.0,809.0,847.0,216.0,231.0,314.0,241.0,190.0,201.0,158.0,62.0,43.0,458.0,490.0,22.0,8.0,348.0,58.0,1.0,0.0,0.0
4,5 DE ENERO,A. URBANO,COMUNA 04,10.0,330.0,167.0,163.0,77.0,74.0,51.0,52.0,36.0,21.0,11.0,3.0,5.0,107.0,96.0,4.0,68.0,0.0,0.0,0.0,0.0,0.0
5,AFRICA,BARRIO,COMUNA 08,12.0,991.0,485.0,506.0,130.0,152.0,188.0,160.0,136.0,91.0,65.0,57.0,12.0,287.0,348.0,10.0,224.0,46.0,3.0,1.0,0.0,0.0
6,ALARCON,BARRIO,COMUNA 03,23.0,2726.0,1265.0,1461.0,317.0,295.0,502.0,546.0,370.0,340.0,187.0,111.0,58.0,1288.0,1059.0,286.0,4.0,8.0,174.0,793.0,0.0,1.0
7,ALBANIA,BARRIO,COMUNA 14,5.0,1440.0,667.0,773.0,183.0,194.0,241.0,183.0,206.0,190.0,119.0,77.0,47.0,458.0,452.0,10.0,123.0,297.0,12.0,2.0,1.0,0.0
8,ALFONSO LOPEZ,BARRIO,COMUNA 05,38.0,7059.0,3409.0,3650.0,836.0,934.0,1400.0,1128.0,878.0,910.0,554.0,263.0,156.0,2411.0,2514.0,175.0,156.0,352.0,1580.0,37.0,6.0,2.0
9,ALTOS DEL CACIQUE,BARRIO,COMUNA 16,13.0,667.0,327.0,340.0,82.0,110.0,132.0,100.0,94.0,81.0,50.0,12.0,6.0,221.0,185.0,23.0,1.0,18.0,156.0,0.0,0.0,0.0
10,ALTOS DEL JARDIN,BARRIO,COMUNA 12,5.0,150.0,70.0,80.0,14.0,22.0,12.0,16.0,27.0,19.0,16.0,16.0,8.0,48.0,44.0,2.0,0.0,0.0,0.0,44.0,0.0,0.0
11,ALTOS DEL KENNEDY,BARRIO,COMUNA 01,6.0,427.0,199.0,228.0,61.0,70.0,88.0,56.0,48.0,59.0,26.0,15.0,4.0,129.0,143.0,2.0,35.0,82.0,0.0,0.0,0.0,0.0
12,ALTOS DEL LAGO,BARRIO,COMUNA 16,11.0,950.0,440.0,510.0,86.0,144.0,141.0,117.0,148.0,147.0,106.0,38.0,23.0,340.0,293.0,20.0,1.0,2.0,34.0,102.0,5.0,145.0
13,ALTOS DEL PROGRESO,BARRIO,COMUNA 01,17.0,959.0,484.0,475.0,177.0,169.0,196.0,141.0,115.0,97.0,37.0,20.0,7.0,306.0,309.0,24.0,257.0,4.0,2.0,1.0,0.0,0.0
14,ALVAREZ LAS AMERICAS,BARRIO,COMUNA 13,47.0,5452.0,2460.0,2992.0,495.0,688.0,817.0,800.0,701.0,817.0,526.0,361.0,247.0,1888.0,1938.0,142.0,3.0,13.0,764.0,937.0,2.0,4.0
15,ANTIGUA COLOMBIA,BARRIO,COMUNA 08,6.0,404.0,202.0,202.0,63.0,60.0,77.0,53.0,53.0,48.0,29.0,10.0,11.0,99.0,118.0,0.0,86.0,11.0,0.0,0.0,0.0,0.0
16,ANTONIA SANTOS CENTRO,BARRIO,COMUNA 13,39.0,11535.0,5246.0,6289.0,1209.0,1352.0,2046.0,2088.0,1608.0,1493.0,955.0,486.0,298.0,4914.0,4431.0,551.0,18.0,22.0,974.0,3179.0,11.0,5.0
17,ANTONIA SANTOS SUR,BARRIO,COMUNA 09,7.0,649.0,305.0,344.0,58.0,64.0,117.0,80.0,74.0,108.0,80.0,38.0,30.0,222.0,209.0,11.0,0.0,26.0,153.0,5.0,0.0,0.0
18,ASTURIAS,BARRIO,COMUNA 09,9.0,860.0,387.0,473.0,81.0,92.0,134.0,135.0,120.0,120.0,98.0,55.0,25.0,277.0,258.0,22.0,0.0,1.0,26.0,222.0,0.0,1.0
19,ASOPOFAVI,A. RURAL, ,16.0,867.0,443.0,424.0,161.0,165.0,167.0,115.0,110.0,81.0,32.0,27.0,9.0,313.0,246.0,67.0,230.0,1.0,0.0,5.0,0.0,0.0
20,BALCON DEL LAGO,BARRIO,COMUNA 16,3.0,208.0,112.0,96.0,33.0,45.0,49.0,32.0,29.0,15.0,1.0,2.0,2.0,68.0,59.0,10.0,4.0,52.0,0.0,0.0,0.0,0.0
21,BALCONCITOS,BARRIO,COMUNA 07,7.0,661.0,294.0,367.0,66.0,94.0,140.0,89.0,82.0,100.0,60.0,16.0,14.0,196.0,227.0,5.0,2.0,174.0,6.0,8.0,0.0,0.0
22,BALCONES DEL KENEDY,BARRIO,COMUNA 01,18.0,1078.0,527.0,551.0,200.0,184.0,206.0,161.0,151.0,92.0,52.0,24.0,8.0,369.0,325.0,43.0,177.0,114.0,1.0,1.0,0.0,0.0
23,BALCONES DEL SUR,BARRIO,COMUNA 11,9.0,565.0,290.0,275.0,110.0,100.0,141.0,76.0,76.0,37.0,20.0,3.0,2.0,208.0,163.0,24.0,146.0,1.0,4.0,1.0,0.0,0.0
24,BETANIA,BARRIO,COMUNA 01,17.0,1344.0,672.0,672.0,178.0,180.0,295.0,196.0,168.0,203.0,89.0,22.0,13.0,405.0,402.0,24.0,91.0,256.0,3.0,0.0,0.0,0.0
25,BOLARQUI,BARRIO,COMUNA 12,20.0,2688.0,1198.0,1490.0,211.0,275.0,375.0,418.0,366.0,418.0,342.0,164.0,119.0,1227.0,1061.0,120.0,4.0,6.0,18.0,504.0,332.0,180.0
26,BOLIVAR,BARRIO,COMUNA 13,28.0,3810.0,1754.0,2056.0,373.0,390.0,607.0,641.0,503.0,566.0,388.0,209.0,133.0,1760.0,1543.0,213.0,8.0,7.0,106.0,1361.0,4.0,5.0
27,BOSCONIA,BARRIO,COMUNA 02,5.0,157.0,82.0,75.0,17.0,26.0,32.0,13.0,31.0,20.0,7.0,8.0,3.0,55.0,47.0,3.0,24.0,20.0,0.0,0.0,0.0,0.0
28,BOSQUE NORTE,BARRIO,COMUNA 02,17.0,987.0,475.0,512.0,173.0,198.0,179.0,187.0,79.0,80.0,64.0,19.0,8.0,367.0,294.0,14.0,279.0,5.0,1.0,1.0,0.0,0.0
29,BOSQUES DEL CACIQUE,BARRIO,COMUNA 16,5.0,310.0,134.0,176.0,49.0,55.0,53.0,57.0,39.0,31.0,19.0,6.0,1.0,109.0,95.0,9.0,0.0,83.0,9.0,0.0,0.0,0.0
30,BRISAS DE PROVENZA,BARRIO,COMUNA 10,25.0,1683.0,815.0,868.0,327.0,297.0,387.0,252.0,213.0,122.0,45.0,29.0,11.0,515.0,489.0,34.0,404.0,16.0,5.0,1.0,0.0,0.0
31,BRISAS DEL MUTIS,BARRIO,COMUNA 17,19.0,3328.0,1561.0,1767.0,405.0,527.0,664.0,466.0,474.0,433.0,216.0,93.0,50.0,1015.0,1001.0,68.0,0.0,20.0,893.0,4.0,0.0,1.0
32,BRISAS DEL PALMAR,BARRIO,COMUNA 11,2.0,334.0,160.0,174.0,60.0,52.0,67.0,56.0,34.0,42.0,13.0,6.0,4.0,119.0,93.0,12.0,39.0,53.0,0.0,0.0,0.0,0.0
33,BRISAS DEL PARAISO,BARRIO,COMUNA 11,9.0,830.0,407.0,423.0,132.0,154.0,176.0,138.0,102.0,83.0,25.0,15.0,5.0,345.0,249.0,53.0,218.0,23.0,4.0,0.0,0.0,0.0
34,BUCARAMANGA,BARRIO,COMUNA 08,29.0,4288.0,2081.0,2207.0,636.0,689.0,759.0,605.0,572.0,499.0,251.0,169.0,108.0,1232.0,1296.0,87.0,26.0,1045.0,22.0,4.0,1.0,0.0
35,BUENAVISTA,BARRIO,COMUNA 14,2.0,109.0,57.0,52.0,17.0,19.0,13.0,28.0,12.0,7.0,8.0,5.0,0.0,32.0,31.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0
36,BUENOS AIRES,BARRIO,COMUNA 14,48.0,4725.0,2260.0,2465.0,850.0,778.0,943.0,751.0,525.0,439.0,248.0,116.0,75.0,1524.0,1435.0,100.0,1278.0,36.0,16.0,14.0,1.0,0.0
37,BARRIO NUEVO,A. URBANO,COMUNA 01,1.0,80.0,43.0,37.0,14.0,13.0,12.0,13.0,14.0,7.0,2.0,3.0,2.0,17.0,22.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0
38,BONANZA CAMPESTRE,A. RURAL,COMUNA 01,14.0,457.0,229.0,228.0,83.0,79.0,90.0,93.0,61.0,28.0,14.0,5.0,4.0,180.0,166.0,21.0,144.0,2.0,0.0,1.0,0.0,0.0
39,BRISAS DE SURATR,A. URBANO,COMUNA 01,2.0,129.0,63.0,66.0,21.0,21.0,31.0,13.0,17.0,14.0,5.0,5.0,2.0,44.0,42.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0
40,BUENAVISTA,A. RURAL,COMUNA 14,13.0,742.0,371.0,371.0,127.0,100.0,146.0,116.0,78.0,91.0,39.0,36.0,9.0,219.0,219.0,9.0,196.0,6.0,1.0,1.0,0.0,0.0
41,CABECERA DEL LLANO,BARRIO,COMUNA 12,84.0,12071.0,5271.0,6800.0,838.0,958.0,1427.0,1463.0,1482.0,1925.0,1950.0,1271.0,757.0,5638.0,4863.0,630.0,8.0,11.0,20.0,49.0,208.0,4487.0
42,CAFE MADRID,BARRIO,COMUNA 01,86.0,7688.0,3801.0,3887.0,1430.0,1527.0,1549.0,1084.0,886.0,611.0,362.0,177.0,62.0,2286.0,2399.0,116.0,1897.0,111.0,4.0,6.0,1.0,0.0
43,CAMPESTRE,BARRIO,COMUNA 12,11.0,714.0,291.0,423.0,35.0,51.0,114.0,81.0,72.0,122.0,100.0,71.0,68.0,347.0,270.0,56.0,1.0,1.0,4.0,7.0,121.0,132.0
44,CAMPESTRE NORTE,BARRIO,COMUNA 01,14.0,656.0,317.0,339.0,131.0,133.0,125.0,117.0,59.0,46.0,26.0,14.0,5.0,240.0,211.0,33.0,179.0,5.0,1.0,1.0,0.0,0.0
45,CAMPO HERMOSO,BARRIO,COMUNA 05,63.0,10173.0,4816.0,5357.0,1393.0,1476.0,1845.0,1471.0,1350.0,1247.0,716.0,426.0,249.0,3066.0,3114.0,274.0,26.0,928.0,1745.0,1.0,0.0,3.0
46,CANDADO,BARRIO,COMUNA 11,3.0,341.0,155.0,186.0,40.0,43.0,61.0,64.0,35.0,51.0,25.0,17.0,5.0,111.0,99.0,11.0,4.0,10.0,79.0,0.0,1.0,0.0
47,CANDILES,BARRIO,COMUNA 06,4.0,1192.0,556.0,636.0,152.0,139.0,197.0,182.0,136.0,169.0,99.0,70.0,48.0,333.0,355.0,22.0,3.0,4.0,291.0,1.0,0.0,0.0
48,CANELOS,BARRIO,COMUNA 08,22.0,1702.0,783.0,919.0,195.0,214.0,292.0,237.0,233.0,207.0,168.0,103.0,53.0,480.0,521.0,21.0,6.0,430.0,16.0,0.0,0.0,0.0
49,CENTRO,BARRIO,COMUNA 15,73.0,3561.0,1699.0,1862.0,413.0,419.0,686.0,664.0,454.0,456.0,289.0,123.0,57.0,1689.0,1381.0,312.0,15.0,35.0,1042.0,216.0,0.0,2.0
50,CHAPINERO,BARRIO,COMUNA 03,24.0,2265.0,1138.0,1127.0,322.0,289.0,478.0,445.0,273.0,232.0,133.0,73.0,20.0,815.0,785.0,131.0,20.0,261.0,363.0,8.0,0.0,0.0
51,CHARTA,BARRIO,COMUNA 05,5.0,410.0,185.0,225.0,73.0,60.0,64.0,69.0,36.0,47.0,35.0,16.0,10.0,118.0,122.0,6.0,2.0,92.0,4.0,0.0,0.0,0.0
52,CHORRERAS DE DON JUAN,BARRIO,COMUNA 05,26.0,2650.0,1259.0,1391.0,264.0,360.0,451.0,372.0,374.0,373.0,244.0,134.0,78.0,877.0,876.0,65.0,39.0,146.0,567.0,2.0,0.0,0.0
53,CIUDAD VENECIA,BARRIO,COMUNA 11,14.0,1049.0,482.0,567.0,111.0,144.0,184.0,161.0,125.0,146.0,107.0,43.0,28.0,322.0,312.0,19.0,0.0,7.0,274.0,0.0,1.0,1.0
54,CLAVERIANO,BARRIO,COMUNA 01,22.0,1353.0,648.0,705.0,253.0,270.0,288.0,204.0,131.0,114.0,57.0,23.0,13.0,412.0,414.0,44.0,334.0,5.0,0.0,0.0,0.0,0.0
55,COLORADOS,BARRIO,COMUNA 01,53.0,4047.0,1929.0,2118.0,692.0,636.0,835.0,599.0,508.0,362.0,224.0,130.0,61.0,1310.0,1322.0,116.0,1095.0,20.0,10.0,2.0,0.0,1.0
56,COLSEGUROS NORTE,BARRIO,COMUNA 01,1.0,1263.0,579.0,684.0,184.0,214.0,234.0,170.0,181.0,146.0,85.0,32.0,17.0,462.0,355.0,23.0,9.0,319.0,2.0,1.0,0.0,0.0
57,COMUNEROS,BARRIO,COMUNA 03,54.0,9139.0,4358.0,4781.0,1062.0,1320.0,1946.0,1411.0,1152.0,1033.0,625.0,384.0,206.0,3852.0,3324.0,394.0,44.0,691.0,2082.0,31.0,1.0,1.0
58,CONDADO DE GIBRALTAR,BARRIO,COMUNA 11,8.0,427.0,202.0,225.0,40.0,71.0,64.0,45.0,62.0,70.0,37.0,26.0,12.0,141.0,130.0,7.0,0.0,0.0,105.0,23.0,0.0,0.0
59,CONQUISTADORES,BARRIO,COMUNA 11,6.0,1356.0,641.0,715.0,198.0,247.0,304.0,203.0,203.0,119.0,47.0,23.0,12.0,435.0,400.0,42.0,6.0,341.0,19.0,1.0,0.0,0.0
60,CONUCOS,BARRIO,COMUNA 12,2.0,1321.0,529.0,792.0,92.0,123.0,176.0,109.0,163.0,177.0,183.0,169.0,129.0,514.0,485.0,24.0,1.0,1.0,14.0,458.0,5.0,1.0
61,CORDONCILLO I,BARRIO,COMUNA 08,3.0,306.0,151.0,155.0,44.0,54.0,63.0,41.0,38.0,33.0,12.0,15.0,6.0,88.0,101.0,1.0,66.0,11.0,1.0,0.0,0.0,0.0
62,CORDONCILLO II,BARRIO,COMUNA 08,15.0,1772.0,863.0,909.0,202.0,272.0,353.0,235.0,213.0,246.0,122.0,76.0,53.0,463.0,608.0,16.0,285.0,103.0,21.0,31.0,1.0,0.0
63,CRISTAL BAJO,BARRIO,COMUNA 10,36.0,1975.0,965.0,1010.0,371.0,332.0,420.0,306.0,207.0,200.0,77.0,45.0,17.0,591.0,563.0,66.0,509.0,7.0,0.0,0.0,0.0,0.0
64,CAMILO TORRES,A. URBANO,COMUNA 04,9.0,560.0,250.0,310.0,104.0,126.0,115.0,95.0,50.0,41.0,17.0,10.0,2.0,165.0,161.0,8.0,118.0,2.0,0.0,0.0,0.0,0.0
65,CAMINOS DE PAZ I,A. URBANO,COMUNA 01,3.0,108.0,53.0,55.0,23.0,23.0,18.0,14.0,11.0,7.0,7.0,4.0,1.0,49.0,38.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0
66,CAMINOS DE PAZ II,A. URBANO,COMUNA 01,1.0,14.0,7.0,7.0,1.0,5.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
67,CARLOS PIZARRO,A. URBANO,COMUNA 04,2.0,113.0,57.0,56.0,24.0,26.0,20.0,15.0,13.0,7.0,6.0,1.0,1.0,44.0,34.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0
68,CERVUNI0N,A. URBANO,COMUNA 01,9.0,192.0,84.0,108.0,50.0,31.0,37.0,25.0,18.0,17.0,8.0,5.0,1.0,71.0,52.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0
69,CHITOTA,A. RURAL,COMUNA 02,12.0,204.0,107.0,97.0,26.0,42.0,32.0,32.0,34.0,17.0,14.0,5.0,2.0,98.0,71.0,15.0,47.0,11.0,1.0,0.0,2.0,0.0
70,CUYANITA,A. URBANO,COMUNA 04,10.0,413.0,215.0,198.0,77.0,100.0,83.0,63.0,35.0,32.0,14.0,7.0,2.0,159.0,121.0,19.0,90.0,2.0,1.0,0.0,0.0,0.0
71,DANGOND,BARRIO,COMUNA 11,11.0,1623.0,781.0,842.0,175.0,222.0,285.0,241.0,223.0,185.0,184.0,74.0,34.0,465.0,460.0,15.0,14.0,226.0,202.0,2.0,1.0,0.0
72,DELICIAS,BARRIO,COMUNA 11,8.0,1332.0,622.0,710.0,175.0,184.0,218.0,238.0,191.0,157.0,104.0,49.0,16.0,595.0,436.0,113.0,2.0,14.0,404.0,3.0,0.0,0.0
73,DELICIAS BAJAS,BARRIO,COMUNA 11,3.0,117.0,50.0,67.0,14.0,19.0,12.0,20.0,12.0,13.0,15.0,8.0,4.0,42.0,39.0,7.0,15.0,16.0,2.0,0.0,0.0,0.0
74,DIAMANTE I,BARRIO,COMUNA 09,9.0,1364.0,642.0,722.0,120.0,181.0,223.0,184.0,194.0,184.0,115.0,99.0,64.0,421.0,401.0,22.0,1.0,5.0,353.0,8.0,1.0,0.0
75,DIAMANTE II,BARRIO,COMUNA 10,60.0,8656.0,3906.0,4750.0,794.0,916.0,1266.0,1228.0,1146.0,1208.0,952.0,702.0,444.0,3118.0,2902.0,233.0,8.0,11.0,307.0,2461.0,1.0,1.0
76,DON BOSCO,BARRIO,COMUNA 04,7.0,788.0,392.0,396.0,105.0,110.0,146.0,102.0,106.0,95.0,53.0,44.0,27.0,250.0,235.0,3.0,6.0,184.0,3.0,0.0,0.0,0.0
77,DIVINO NI,A. URBANO,COMUNA 04,6.0,339.0,168.0,171.0,54.0,71.0,63.0,47.0,51.0,26.0,16.0,10.0,1.0,135.0,96.0,7.0,86.0,2.0,1.0,0.0,0.0,0.0
78,DIVINO NI,A. URBANO,COMUNA 01,9.0,266.0,131.0,135.0,41.0,43.0,63.0,43.0,28.0,31.0,11.0,5.0,1.0,92.0,84.0,8.0,77.0,0.0,0.0,0.0,0.0,0.0
79,DIVINO NI,A. URBANO,COMUNA 01,1.0,38.0,21.0,17.0,6.0,5.0,6.0,5.0,5.0,8.0,3.0,0.0,0.0,11.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
80,EL CINAL,BARRIO,COMUNA 04,7.0,337.0,170.0,167.0,51.0,53.0,62.0,57.0,41.0,31.0,21.0,10.0,11.0,99.0,93.0,2.0,76.0,4.0,3.0,1.0,2.0,0.0
81,EL CRISTAL,BARRIO,COMUNA 10,18.0,1544.0,734.0,810.0,239.0,286.0,289.0,250.0,169.0,176.0,81.0,35.0,19.0,431.0,435.0,20.0,396.0,5.0,1.0,0.0,0.0,0.0
82,EL DIVISO,BARRIO,COMUNA 14,18.0,1740.0,803.0,937.0,309.0,279.0,371.0,247.0,194.0,152.0,102.0,60.0,26.0,624.0,545.0,33.0,491.0,40.0,0.0,0.0,0.0,0.0
83,EL JARDIN,BARRIO,COMUNA 12,10.0,184.0,87.0,97.0,15.0,25.0,22.0,20.0,22.0,26.0,24.0,20.0,10.0,85.0,59.0,20.0,0.0,0.0,0.0,54.0,1.0,0.0
84,EL PABL1N,BARRIO,COMUNA 01,12.0,440.0,218.0,222.0,65.0,72.0,93.0,72.0,55.0,36.0,19.0,22.0,6.0,164.0,160.0,15.0,131.0,7.0,1.0,4.0,0.0,1.0
85,EL PLAN,BARRIO,COMUNA 02,14.0,536.0,259.0,277.0,79.0,97.0,94.0,88.0,65.0,52.0,34.0,21.0,6.0,165.0,153.0,7.0,47.0,101.0,0.0,0.0,0.0,0.0
86,EL PORVENIR,BARRIO,COMUNA 11,62.0,6510.0,3111.0,3399.0,863.0,866.0,1292.0,979.0,884.0,811.0,480.0,246.0,89.0,2176.0,2014.0,150.0,4.0,38.0,1823.0,2.0,0.0,1.0
